id,Unique ID,FD sample ID,FD Run ID,Strain,Cryo mix,FD_recipe,Ferm Condition,FC,Aged,Aged_Temp,Aged_Weeks,DR_latest,Est_latest,ExtenderCFU_ml,ExtenderCFU_ml_SD,Application_loss_CFU,W0,W1,W2,W3,W4,W5,W6,W7,W8,SD0,SD1,SD2,SD3,SD4,SD5,SD6,SD7,SD8,Plated_W0,Plated_W1,Plated_W2,Plated_W3,Plated_W4,Plated_W5,Plated_W6,Plated_W7,Plated_W8,log_W0,log_W1,log_W2,log_W3,log_W4,log_W5,log_W6,log_W7,log_W8,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,,,,,,,,,,,,,,,,,,#VALUE!,,,,,,,,#VALUE!,#VALUE!,,,,,,
5,A,IFF09152022-2,FDL-099D,Klebsiella variicola,PVT,,"Greens, high EPS, CR","Greens, high EPS, CR broth",no,,,#N/A,#N/A,2.35E+10,2.84E+09,0.74,3.80E+06,1.67E+06,7.93E+05,,2.57E+04,4.04E+05,,,1.77E+05,2.80E+05,2.66E+05,1.56E+05,,7.11E+03,3.13E+04,,,,12/6/22,12/13/22,12/20/22,,1/3/23,1/10/23,,,,6.579783597,6.221848836,5.899455702,,4.410495989,5.249116874,,,#REF!,,Days_W0,Days_W1,Days_W2,Days_W3,Days_W4,Days_W5,Days_W6,Days_W7,Days_W8,,YI_W0,YI_W1,YI_W2,YI_W3,YI_W4,YI_W5,YI_W6,YI_W7,YI_W8,,DR_W0,DR_W1,DR_W2,DR_W3,DR_W4,DR_W5,DR_W6,DR_W7,DR_W8,,Est_W0,Est_W1,Est_W2,Est_W3,Est_W4,Est_W5,Est_W6,Est_W7,Est_W8
6,A,IFF10202022-1,FDL-101A1,Kosakonia sacchari,PVT70%,,"Glucose, CR","Glucose, CR broth",no,,,-0.070,24.285,6.68E+09,4.85E+08,1.28,3.08E+05,1.84E+05,1.05E+05,,3.73E+03,4.36E+04,,,4.31E+03,5.56E+04,3.82E+04,2.12E+04,,2.20E+03,4.42E+03,,,,12/6/22,12/13/22,12/20/22,,1/3/23,1/10/23,,,,5.488550717,5.264817823,5.02311522,,3.572096768,4.639486489,,,3.63447727,,0,7,14,,28,35,,,,,,5.488550717,5.491545668,5.491545668,5.68926125,5.463821737,5.463821737,5.463821737,5.463821737,,,-0.031961842,-0.033245393,-0.033245393,-0.069560499,#REF!,,,,,,46.57274508,44.86473317,44.86473317,24.28477748,#REF!,,,#REF!
7,B,22PT1202-12,FDL-105A-T02,Klebsiella variicola,DSR,,"Potato peptone and tryptone, high viscosity by post-ferm addition of 0.7% XG","T + P, 0.7% XG",no,,,-0.033,62.474,1.48E+10,7.81E+08,1.02,1.24E+06,,4.03E+05,2.43E+05,1.44E+05,,,,9.08E+03,3.56E+05,,1.62E+04,5.06E+04,2.42E+04,,,,,12/21/22,,1/4/23,1/11/23,1/18/23,,,,,6.093421685,,5.60494568,5.385010125,5.158362492,,,,3.958085849,,0,,14,21,28,,,,,,,#DIV/0!,6.093421685,6.089949907,6.086431833,6.086431833,6.086431833,6.086431833,6.086431833,,,,-0.034891143,-0.033899207,-0.033396625,#REF!,,,,,,,59.99865553,61.65188262,62.47433259,#REF!,,,#REF!
8,B,22PT1202-5,FDL-105A-T03,Kosakonia sacchari,PVT70%,,"Potato peptone and tryptone, high viscosity by post-ferm addition of 0.7% XG","T + P, 0.7% XG",no,,,-0.053,19.676,2.60E+09,1.84E+08,1.23,1.37E+05,,1.20E+04,9.39E+03,4.36E+03,,,,2.80E+02,1.51E+04,,3.49E+03,1.46E+03,9.02E+02,,,,,12/21/22,,1/4/23,1/11/23,1/18/23,,,,,5.136720567,,4.079181246,3.972511396,3.639486489,,,,2.447158031,,0,,14,21,28,,,,,,,#DIV/0!,5.136720567,5.076420594,5.037271643,5.037271643,5.037271643,5.037271643,5.037271643,,,,-0.075538523,-0.058309959,-0.052717252,-0.052717252,,,,,,,15.04822338,18.4603215,19.67613266,19.67613266,,,#REF!
9,B,22PT1202-11,FDL-105A-T04,Klebsiella variicola,PVT70%,,"Potato peptone and tryptone, high viscosity by post-ferm addition of 0.7% XG","T + P, 0.7% XG",no,,,-0.045,45.969,1.17E+10,6.24E+08,0.96,1.15E+06,,2.72E+05,1.31E+05,6.41E+04,,,,1.19E+04,1.40E+05,,6.58E+04,2.01E+04,1.60E+04,,,,,12/21/22,,1/4/23,1/11/23,1/18/23,,,,,6.06069784,,5.434568904,5.116164812,4.807083813,,,,4.075546961,,0,,14,21,28,,,,,,,#DIV/0!,6.06069784,6.061460644,6.06066395,6.06066395,6.06066395,6.06066395,6.06066395,,,,-0.044723495,-0.044941439,-0.044827626,-0.044827626,,,,,,,46.0764039,45.86992934,45.96861667,45.96861667,,,#REF!
10,C,22PT1202-1,FDL-105B-T05,Kosakonia sacchari,SKP,," Potato peptone and tryptone, low viscosity",T + P,no,,,-0.107,1.006,2.53E+08,2.31E+07,1.33,1.05E+04,3.40E+03,3.33E+02,,,,,,,3.11E+03,n/a,2.01E+02,,,,,,,1/5/23,1/12/23,1/19/23,1/26/23,,,,,,4.021189299,3.531478917,2.522878745,,,,,,,,0,7,14,21,,,,,,,,4.021189299,4.107670931,4.107670931,4.107670931,4.107670931,4.107670931,4.107670931,4.107670931,,,-0.069958626,-0.107022182,,,,,,,,,0.302883294,1.006061811,,,,,,#REF!
11,C,22PT1202-3,FDL-105B-T06,Kosakonia sacchari,DSR,," Potato peptone and tryptone, low viscosity",T + P,no,,,-0.079,17.524,5.55E+09,3.78E+08,1.27,2.65E+05,5.52E+04,2.09E+04,,,,,,,3.45E+04,n/a,7.27E+03,,,,,,,1/5/23,1/12/23,1/19/23,1/26/23,2/2/23,,,,,5.423245874,4.741939078,4.320838389,,,,,,,,0,7,14,21,28,,,,,,,5.423245874,5.379878189,5.379878189,5.379878189,5.379878189,5.379878189,5.379878189,5.379878189,,,-0.097329542,-0.078743392,,,,,,,,,14.62295866,17.52373321,,,,,,
12,C,22PT1202-4,FDL-105B-T07,Kosakonia sacchari,SKP,,"Potato peptone and tryptone, high viscosity by post-ferm addition of 0.7% XG","T + P, 0.7% XG",no,,,-0.096,0.778,6.53E+08,8.33E+07,1.68,1.20E+04,2.48E+03,5.47E+02,,,,,,,1.83E+03,n/a,3.61E+02,,,,,,,1/5/23,1/12/23,1/19/23,1/26/23,,,,,,4.079181246,3.394451681,2.737722593,,,,,,,,0,7,14,21,,,,,,,,4.079181246,4.0745145,4.0745145,4.0745145,4.0745145,4.0745145,4.0745145,4.0745145,,,-0.097818509,-0.095818475,,,,,,,,,0.809470995,0.777663176,,,,,,
13,C,22PT1202-6,FDL-105B-T09,Kosakonia sacchari,DSR,,"Potato peptone and tryptone, high viscosity by post-ferm addition of 0.7% XG","T + P, 0.7% XG",no,,,-0.051,22.145,2.29E+09,4.28E+08,1.15,1.44E+05,5.36E+04,2.76E+04,,,,,,,3.49E+04,n/a,2.62E+03,,,,,,,1/5/23,1/12/23,1/19/23,1/26/23,2/2/23,,,,,5.158362492,4.72916479,4.440909082,,,,,,,,0,7,14,21,28,,,,,,,5.158362492,5.13487216,5.13487216,5.13487216,5.13487216,5.13487216,5.13487216,5.13487216,,,-0.061313957,-0.051246672,,,,,,,,,18.89231326,22.14528499,,,,,,
14,C,22PT1117-8,FDL-105B-T10,Klebsiella variicola,PVT70%,," Potato peptone and tryptone, low viscosity",T + P,no,,,-0.026,85.001,1.31E+10,3.95E+09,0.91,1.44E+06,1.04E+06,5.37E+05,,5.44E+05,4.23E+04,,,,4.72E+05,n/a,4.39E+04,,,,,,,1/5/23,1/12/23,1/19/23,1/26/23,2/2/23,3/3/23,,,,6.158362492,6.017033339,5.730243783,,5.7355989,4.626340367,,,,,0,7,14,21,28,57,,,,,,6.158362492,6.182605893,6.182605893,6.100759808,6.202952128,6.202952128,6.202952128,6.202952128,,,-0.020189879,-0.030579908,,-0.015546953,-0.025916809,,,,,,106.9031912,71.37385457,,135.1235675,85.0009013,,,
