"Sparkle PIVOT Sample CFU plating data recording sheet. Manually enter your data in columns marked with a ⭐ (optional: †) and the other columns should auto-calculate appropriately. The data are sortable, and can be filtered using the dropdowns in each column.",,,,,,,,,,,,,,,,,,,,,
⭐,⭐,†,†,⭐,†,⭐,,⭐,⭐,⭐,⭐,⭐,†,,,,,,†,,
Batch,Sample Description,Code No.,Logs,No. Reps,Extra,grams,mL,Who,Date,Best DF,R1,R2,R3,CFU/mL,SD CFU/mL,CFU/g,SD CFU/g,CV,Remark/AW,,
FDL-086-7,Pivot FD,,"5, 6, 7",2,,0.1084,2.06,CL,2022/10/12,1.00E+06,158,56,,4.28E+09,2.88E+09,8.13E+10,5.48E+10,67.4%,Contaminated,,
FDL-090C-T09,Pivot FD,,"5, 6, 7",2,,0.1029,1.96,CL,2022/10/12,1.00E+07,28,31,,1.18E+10,8.49E+08,2.24E+11,1.61E+10,7.2%,,,
FDL-095A-T08,Pivot FD,,"5, 6, 7",2,,0.1083,2.06,CL,2022/10/12,1.00E+05,51,65,,2.32E+08,3.96E+07,4.41E+09,7.52E+08,17.1%,,,
FDL-095-T05,Pivot FD,,"5, 6, 7",2,,0.0976,1.85,CL,2022/10/12,1.00E+05,1,0,,2.00E+06,2.83E+06,3.80E+07,5.37E+07,141.4%,too low - replate,,
FDL-92B-T12,Pivot FD,,"5, 6, 7",2,,0.1002,1.90,CL,2022/10/12,1.00E+05,426,330,,1.51E+09,2.72E+08,2.87E+10,5.16E+09,18.0%,,,
FDL-94A-T02,Pivot FD,,"5, 6, 7",2,,0.1000,1.90,CL,2022/10/12,1.00E+05,7,12,,3.80E+07,1.41E+07,7.22E+08,2.69E+08,37.2%,too low - replate,,
FDL-092B-T10,Pivot FD,,"2, 4, 6",2,,0.3,5.70,EC,2022/10/05,1.00E+04,42,44,,1.72E+07,5.66E+05,3.27E+08,1.07E+07,3.3%,,,
FDL-092B-T10,Pivot FD,,"2, 4, 6",2,,0.1,1.90,KH,2022/10/05,1.00E+04,37,45,,1.64E+07,2.26E+06,3.12E+08,4.30E+07,13.8%,96.6%,,
FDL-092B-T11,Pivot FD,,"2, 4, 6",2,,0.3,5.70,EC,2022/10/05,1.00E+04,23,15,,7.60E+06,2.26E+06,1.44E+08,4.30E+07,29.8%,,,
FDL-092B-T11,Pivot FD,,"2, 4, 6",2,,0.1,1.90,KH,2022/10/05,1.00E+04,25,17,,8.40E+06,2.26E+06,1.60E+08,4.30E+07,26.9%,95.6%,,
FDL-092B-T12,Pivot FD,,"2, 4, 6",2,,0.3,5.70,EC,2022/10/05,1.00E+04,50,63,,2.26E+07,3.68E+06,4.29E+08,6.99E+07,16.3%,,,
FDL-092B-T12,Pivot FD,,"2, 4, 6",2,,0.1,1.90,KH,2022/10/05,1.00E+04,56,55,,2.22E+07,2.83E+05,4.22E+08,5.37E+06,1.3%,93.2%,,
FDL-092B-T9,Pivot FD,,"2, 4, 6",2,,0.3,5.70,EC,2022/10/05,1.00E+02,172,146,,6.36E+05,7.35E+04,1.21E+07,1.40E+06,11.6%,,,
FDL-092B-T9,Pivot FD,,"2, 4, 6",2,,0.1,1.90,KH,2022/10/05,1.00E+02,143,135,,5.56E+05,2.26E+04,1.06E+07,4.30E+05,4.1%,85.6%,,
FDL-095A-T5,Pivot FD,,"2, 4, 6",2,,0.3,5.70,EC,2022/10/05,1.00E+02,88,63,,3.02E+05,7.07E+04,5.74E+06,1.34E+06,23.4%,,,
FDL-095A-T5,Pivot FD,,"2, 4, 6",2,,0.1,1.90,KH,2022/10/05,1.00E+02,95,88,,3.66E+05,1.98E+04,6.95E+06,3.76E+05,5.4%,72.7%,,
FDL-095A-T8,Pivot FD,,"2, 4, 6",2,,0.3,5.70,EC,2022/10/05,1.00E+02,388,377,,1.53E+06,3.11E+04,2.91E+07,5.91E+05,2.0%,,,
FDL-095A-T8,Pivot FD,,"2, 4, 6",2,,0.1,1.90,KH,2022/10/05,1.00E+02,419,341,,1.52E+06,2.21E+05,2.89E+07,4.19E+06,14.5%,-1926.3%,,
FDL-098-T29,Pivot FD,,"6,7",2,,0.3,5.70,EC,2022/10/03,1.00E+06,88,75,,3.26E+09,3.68E+08,6.19E+10,6.99E+09,11.3%,Re-Plated Samples,,
FDL-094B-T10,21C,,"3, 4",2,,0.1,1.90,EC,2022/09/30,1.00E+03,3,1,,8.00E+04,5.66E+04,1.52E+06,1.07E+06,70.7%,Re-Plated Samples,,
FDL-094B-T11,21C,,"3, 4",2,,0.1,1.90,EC,2022/09/30,1.00E+03,19,28,,9.40E+05,2.55E+05,1.79E+07,4.84E+06,27.1%,Re-Plated Samples,,
