Unique ID,FD sample ID,FD Run ID,Strain,Cryo mix,Sub-Sample,Ferm Condition,Storage form,Temperature (°C),Container,Bulking,Desiccant,Quantity (g),Sample location,Week 0 CFU/g,Week 2 CFU/g,Week 4 CFU/g,Week 8 CFU/g,Week 12 CFU/g,decay_rate_fitted,Rsquared_fitted,decay_rate_errbar,decay_rate_lower95interval,decay_rate_upper95interval,estimate_day_2e10,Week 0 Aw,Week 2 Aw,Week 4 Aw,Week 8 Aw,Week 12 Aw,,,,
1,IFF09152022-1,FDL-099A,Klebsiella variicola,PVT,pellet_21_mylar_n,"Greens, high EPS",Pellet,21,Mylar,PVT,N,8,BINDER @D120,4.05E+11,,2.58E+11,1.49E+11,,-0.007761179,0.996658847,0.000880746,-0.008641926,-0.006880433,1.68E+02,0.165,,0.175,0.205,,,,,
2,IFF09152022-1,FDL-099A,Klebsiella variicola,PVT,pellet_21_mylar_cacl2,"Greens, high EPS",Pellet,21,Mylar,PVT,2%CaCl2,8,BINDER @D120,4.05E+11,,2.70E+11,9.50E+10,,-0.011251584,0.939662388,0.005588174,-0.016839758,-0.00566341,1.16E+02,0.165,,0.125,0.153,,,,,
3,IFF09152022-1,FDL-099A,Klebsiella variicola,PVT,unbulked powder_21_mylar_n,"Greens, high EPS",Unbulked powder,21,Mylar,PVT,5%SIO2,8,BINDER @D120,4.00E+11,,1.77E+11,5.62E+10,,-0.015219716,0.990338924,0.00294629,-0.018166006,-0.012273426,8.55E+01,0.289,,0.23,0.268,,,,,
4,IFF09152022-1,FDL-099A,Klebsiella variicola,PVT,"bulked powder, pre-dried bulking_21_mylar_n","Greens, high EPS","Bulked powder, pre-dried bulking",21,Mylar,PVT,5%SIO2,8,BINDER @D120,1.86E+11,,1.01E+11,4.52E+10,,-0.010954746,0.99311633,0.001787559,-0.012742304,-0.009167187,8.83E+01,0.224,,0.174,0.221,,,,,
5,IFF09152022-1,FDL-099A,Klebsiella variicola,PVT,"bulked powder, w/o sio2_21_mylar_n","Greens, high EPS","Bulked powder, w/o SiO2",21,Mylar,PVT,5%SIO2,8,BINDER @D120,2.38E+11,,9.92E+10,3.65E+10,,-0.014549381,0.998539388,0.00109063,-0.015640012,-0.013458751,7.39E+01,0.229,,0.21,0.257,,,,,
6,IFF09152022-1,FDL-099A,Klebsiella variicola,PVT,"bulked powder, pre-dried bulking w/o sio2_21_mylar_n","Greens, high EPS","Bulked powder, pre-dried bulking w/o SiO2",21,Mylar,PVT,5%SIO2,8,BINDER @D120,2.38E+11,,1.06E+11,3.95E+10,,-0.01392863,0.996484358,0.001621525,-0.015550154,-0.012307105,7.72E+01,0.247,,0.197,0.246,,,,,
7,IFF09152022-1,FDL-099A,Klebsiella variicola,PVT,bulked powder_21_mylar_n,"Greens, high EPS",Bulked powder,21,Mylar,PVT,5%SIO2,8,BINDER @D120,1.86E+11,,9.80E+10,2.70E+10,,-0.014959899,0.963363722,0.00571791,-0.020677809,-0.00924199,6.47E+01,0.254,,0.224,0.265,,,,,
8,IFF09152022-2,FDL-099D,Klebsiella variicola,PVT,pellet_21_mylar_n,"Greens, high EPS",Pellet,21,Mylar,PVT,5%SIO2,8,BINDER @D120,7.11E+11,,1.52E+11,4.67E+10,2.35E+10,-0.017697082,0.972658878,0.00411209,-0.021809172,-0.013584991,8.76E+01,0.217,,0.272,0.213,0.254,,,,
9,IFF09152022-2,FDL-099D,Klebsiella variicola,PVT,pellet_21_mylar_cacl2,"Greens, high EPS",Pellet,21,Mylar,PVT,2%CaCl2,8,BINDER @D120,7.11E+11,,1.71E+11,6.69E+10,6.25E+10,-0.012765003,0.878421438,0.006581594,-0.019346597,-0.00618341,1.21E+02,0.217,,0.186,0.155,0.198,,,,
10,IFF09152022-2,FDL-099D,Klebsiella variicola,PVT,pellet_4_mylar_n,"Greens, high EPS",Pellet,4,Mylar,PVT,5%SIO2,8,Deli case @ D120,7.11E+11,,2.58E+11,3.23E+11,3.97E+11,-0.002364138,0.205536811,0.006441664,-0.008805803,0.004077526,6.56E+02,0.217,,n/m,n/m,n/m,,,,
