id,Unique ID,FD sample ID,FD Run ID,Strain,Cryo mix,FD_recipe,Desiccant,FC,Aged,,DR_latest,Est_latest,ExtenderCFU_ml,ExtenderCFU_ml_SD,Application Log Loss,Plating Date,CFU/Seed,CFU/Seed Stdev,T0?,Days,Log CFU,Y-Intercept,Decay Rate,EstDays,T0 Date
1,A,IFF09152022-2,FDL-099D,Klebsiella variicola,PVT,PVT090-A0,5%SIO2,"Greens, high EPS, CR broth",no,Fresh,-0.024,90.188,2.35E+10,2.84E+09,0.74,12/6/22,3.80E+06,2.80E+05,Yes,0.00,6.58,,,,12/6/22
1,A,IFF09152022-2,FDL-099D,Klebsiella variicola,PVT,PVT090-A0,5%SIO2,"Greens, high EPS, CR broth",no,Fresh,-0.024,90.188,2.35E+10,2.84E+09,0.74,12/13/22,1.67E+06,2.66E+05,No,7.00,6.22,6.58,-0.051,50.45,12/6/22
1,A,IFF09152022-2,FDL-099D,Klebsiella variicola,PVT,PVT090-A0,5%SIO2,"Greens, high EPS, CR broth",no,Fresh,-0.024,90.188,2.35E+10,2.84E+09,0.74,12/20/22,7.93E+05,1.56E+05,No,14.00,5.90,6.57,-0.049,52.97,12/6/22
1,A,IFF09152022-2,FDL-099D,Klebsiella variicola,PVT,PVT090-A0,5%SIO2,"Greens, high EPS, CR broth",no,Fresh,-0.024,90.188,2.35E+10,2.84E+09,0.74,,,,No,,,,,,12/6/22
1,A,IFF09152022-2,FDL-099D,Klebsiella variicola,PVT,PVT090-A0,5%SIO2,"Greens, high EPS, CR broth",no,Fresh,-0.024,90.188,2.35E+10,2.84E+09,0.74,1/3/23,2.57E+04,7.11E+03,No,28.00,4.41,6.73,-0.077,35.02,12/6/22
1,A,IFF09152022-2,FDL-099D,Klebsiella variicola,PVT,PVT090-A0,5%SIO2,"Greens, high EPS, CR broth",no,Fresh,-0.024,90.188,2.35E+10,2.84E+09,0.74,1/10/23,4.04E+05,3.13E+04,No,35.00,5.61,6.47,-0.028,56.94,12/6/22
1,A,IFF09152022-2,FDL-099D,Klebsiella variicola,PVT,PVT090-A0,5%SIO2,"Greens, high EPS, CR broth",no,Fresh,-0.024,90.188,2.35E+10,2.84E+09,0.74,,,,No,,,,,,12/6/22
1,A,IFF09152022-2,FDL-099D,Klebsiella variicola,PVT,PVT090-A0,5%SIO2,"Greens, high EPS, CR broth",no,Fresh,-0.024,90.188,2.35E+10,2.84E+09,0.74,,,,No,,,,,,12/6/22
1,A,IFF09152022-2,FDL-099D,Klebsiella variicola,PVT,PVT090-A0,5%SIO2,"Greens, high EPS, CR broth",no,Fresh,-0.024,90.188,2.35E+10,2.84E+09,0.74,1/31/23,1.77E+05,,No,56.00,5.25,6.24,-0.024,90.19,12/6/22
2,A,IFF10202022-1,FDL-101A1,Kosakonia sacchari,PVT70%,PVT090-A0,5%SIO2,"Glucose, CR broth",no,Fresh,-0.033,41.284,6.68E+09,4.85E+08,1.28,12/6/22,3.08E+05,5.56E+04,Yes,0.00,5.49,,,,12/6/22
2,A,IFF10202022-1,FDL-101A1,Kosakonia sacchari,PVT70%,PVT090-A0,5%SIO2,"Glucose, CR broth",no,Fresh,-0.033,41.284,6.68E+09,4.85E+08,1.28,12/13/22,1.84E+05,3.82E+04,No,7.00,5.26,5.49,-0.032,46.57,12/6/22
2,A,IFF10202022-1,FDL-101A1,Kosakonia sacchari,PVT70%,PVT090-A0,5%SIO2,"Glucose, CR broth",no,Fresh,-0.033,41.284,6.68E+09,4.85E+08,1.28,12/20/22,1.05E+05,2.12E+04,No,14.00,5.02,5.49,-0.033,44.86,12/6/22
2,A,IFF10202022-1,FDL-101A1,Kosakonia sacchari,PVT70%,PVT090-A0,5%SIO2,"Glucose, CR broth",no,Fresh,-0.033,41.284,6.68E+09,4.85E+08,1.28,,,,No,,,,,,12/6/22
2,A,IFF10202022-1,FDL-101A1,Kosakonia sacchari,PVT70%,PVT090-A0,5%SIO2,"Glucose, CR broth",no,Fresh,-0.033,41.284,6.68E+09,4.85E+08,1.28,1/3/23,3.73E+03,2.20E+03,No,28.00,3.57,5.69,-0.068,24.28,12/6/22
2,A,IFF10202022-1,FDL-101A1,Kosakonia sacchari,PVT70%,PVT090-A0,5%SIO2,"Glucose, CR broth",no,Fresh,-0.033,41.284,6.68E+09,4.85E+08,1.28,1/10/23,4.36E+04,4.42E+03,No,35.00,4.64,5.46,-0.024,36.91,12/6/22
2,A,IFF10202022-1,FDL-101A1,Kosakonia sacchari,PVT70%,PVT090-A0,5%SIO2,"Glucose, CR broth",no,Fresh,-0.033,41.284,6.68E+09,4.85E+08,1.28,,,,No,,,,,,12/6/22
2,A,IFF10202022-1,FDL-101A1,Kosakonia sacchari,PVT70%,PVT090-A0,5%SIO2,"Glucose, CR broth",no,Fresh,-0.033,41.284,6.68E+09,4.85E+08,1.28,,,,No,,,,,,12/6/22
2,A,IFF10202022-1,FDL-101A1,Kosakonia sacchari,PVT70%,PVT090-A0,5%SIO2,"Glucose, CR broth",no,Fresh,-0.033,41.284,6.68E+09,4.85E+08,1.28,1/31/23,4.31E+03,,No,56.00,3.63,5.39,-0.033,41.28,12/6/22
3,B,22PT1202-12,FDL-105A-T02,Klebsiella variicola,DSR,PVT090-A0,5%SIO2,"T + P, 0.7% XG",no,Fresh,0.039,55.470,1.48E+10,7.81E+08,1.02,12/21/22,1.24E+06,3.56E+05,Yes,0.00,6.09,,,,12/21/22
3,B,22PT1202-12,FDL-105A-T02,Klebsiella variicola,DSR,PVT090-A0,5%SIO2,"T + P, 0.7% XG",no,Fresh,0.039,55.470,1.48E+10,7.81E+08,1.02,,,,No,,,,,,12/21/22
3,B,22PT1202-12,FDL-105A-T02,Klebsiella variicola,DSR,PVT090-A0,5%SIO2,"T + P, 0.7% XG",no,Fresh,0.039,55.470,1.48E+10,7.81E+08,1.02,1/4/23,4.03E+05,1.62E+04,No,14.00,5.60,6.09,-0.035,60.00,12/21/22
3,B,22PT1202-12,FDL-105A-T02,Klebsiella variicola,DSR,PVT090-A0,5%SIO2,"T + P, 0.7% XG",no,Fresh,0.039,55.470,1.48E+10,7.81E+08,1.02,1/11/23,2.43E+05,5.06E+04,No,21.00,5.39,6.09,-0.034,61.65,12/21/22
3,B,22PT1202-12,FDL-105A-T02,Klebsiella variicola,DSR,PVT090-A0,5%SIO2,"T + P, 0.7% XG",no,Fresh,0.039,55.470,1.48E+10,7.81E+08,1.02,1/18/23,1.44E+05,2.42E+04,No,28.00,5.16,6.09,-0.033,62.47,12/21/22
3,B,22PT1202-12,FDL-105A-T02,Klebsiella variicola,DSR,PVT090-A0,5%SIO2,"T + P, 0.7% XG",no,Fresh,0.039,55.470,1.48E+10,7.81E+08,1.02,,,,No,,,,,,12/21/22
