FD Run ID,Sample Description,Storage form,Temperature (C),T0,Date,W0_CFU/mL,W1_CFU/mL,W8_CFU/mL,W0_CFU/g,W1_CFU/g,W8_CFU/g,W0_Water Activity,W1_Water Activity,W8_Water Activity
IFF09152022-2 T1,,,21,2023-01-05,2023-02-27,,,741000000.0,,,14100000000.0,,,0.254
IFF09152022-2 T2,,,21,2023-01-05,2023-02-27,,,1970000000.0,,,37500000000.0,,,0.198
IFF09152022-2 T3,,,4,2023-01-05,2023-03-01,,,23.0,,,4.5,,,
IFF09152022-2 T4,,,21,2023-01-05,2023-02-27,,,455000000.0,,,8640000000.0,,,0.267
IFF09152022-3 T1,,,21,2023-01-05,2023-02-27,,,244000000.0,,,4640000000.0,,,0.227
IFF09152022-3 T2,,,21,2023-01-05,2023-02-27,,,407000000.0,,,7730000000.0,,,0.157
IFF09152022-3 T3,,,4,2023-01-05,2023-02-27,,,6510000000.0,,,124000000000.0,,,
IFF09152022-3 T4,,,21,2023-01-05,2023-02-27,,,123000000.0,,,2330000000.0,,,0.243
IFF10202022-1 T1,,,21,2023-01-05,2023-02-27,,,77600000.0,,,1470000000.0,,,0.36
IFF10202022-1 T2,,,21,2023-01-05,2023-02-27,,,304000000.0,,,5780000000.0,,,0.308
IFF10202022-1 T3,,,4,2023-01-05,2023-02-27,,,4150000000.0,,,78800000000.0,,,
IFF10202022-1 T4,,,21,2023-01-05,2023-02-27,,,71700000.0,,,1360000000.0,,,0.329
IFF10202022-2 T1,,,21,2023-01-05,2023-02-27,,,7730000.0,,,147000000.0,,,0.324
IFF10202022-2 T2,,,21,2023-01-05,2023-02-27,,,10500000.0,,,200000000.0,,,0.227
IFF10202022-2 T3,,,4,2023-01-05,2023-02-27,,,2730000000.0,,,51900000000.0,,,
IFF10202022-2 T4,,,21,2023-01-05,2023-02-27,,,4130000.0,,,78500000.0,,,0.301
AKLUB 030623 AA #5,,,,2023-03-09,2023-03-09,24000000000.0,13600000000.0,,456000000000.0,258000000000.0,,,,
AKLUB 030323 AA,,,,2023-03-09,2023-03-09,17900000000.0,20800000000.0,,339000000000.0,395000000000.0,,,,
EDKOKO 022823 01,,,,2023-03-09,2023-03-09,7120000000.0,20800000000.0,,135000000000.0,395000000000.0,,,,
EDKLUB 022823 03,,,,2023-03-09,2023-03-09,19800000000.0,21300000000.0,,376000000000.0,405000000000.0,,,,
FD-23-0006-T1,,,,2023-03-13,2023-03-13,10800000000.0,,,206000000000.0,,,,,
FD-23-0006-T2,,,,2023-03-13,2023-03-13,11400000000.0,,,216000000000.0,,,,,
FD-23-0006-T4,,,,2023-03-13,2023-03-13,12400000000.0,,,236000000000.0,,,,,
FD-23-0006-T5,,,,2023-03-13,2023-03-13,24600000000.0,,,467000000000.0,,,,,
EDKLUB 030623 04,OFD,,,2023-03-23,2023-03-23,24500000000.0,,,466000000000.0,,,,,
EDKLUB 030823 05,OFD,,,2023-03-23,2023-03-23,18300000000.0,,,347000000000.0,,,,,
EDKLUB 031023 06,OFD,,,2023-03-23,2023-03-23,27600000000.0,,,524000000000.0,,,,,
EDKLUB 031312 07 ,OFD,,,2023-03-23,2023-03-23,19600000000.0,,,372000000000.0,,,,,
EDKLUB 031312 08,OFD,,,2023-03-23,2023-03-23,26100000000.0,,,497000000000.0,,,,,
ABKLUB 031623AA #9,Thrive,,,2023-03-23,2023-03-23,29600000000.0,,,562000000000.0,,,,,
ABKLUB 031823AA #10,Thrive,,,2023-03-23,2023-03-23,25300000000.0,,,481000000000.0,,,,,
ABKLUB 032023AA #11,Thrive ,,,2023-03-23,2023-03-23,30800000000.0,,,585000000000.0,,,,,
ABKLUB 030823AA,,,,2023-03-20,2023-03-20,21200000000.0,,,403000000000.0,,,,,
ABKLUB 031023AA,,,,2023-03-20,2023-03-20,22500000000.0,,,428000000000.0,,,,,
ABKLUB 031323AA,,,,2023-03-20,2023-03-20,24000000000.0,,,456000000000.0,,,,,
FDL-111A-T1,,Pellet,,2023-03-30,2023-03-30,15900000000.0,,,301000000000.0,,,,,
FDL-111A-T2,,Pellet,,2023-03-30,2023-03-30,8670000000.0,,,165000000000.0,,,,,
FDL-111A-T3,,Pellet,,2023-03-30,2023-03-30,12400000000.0,,,236000000000.0,,,,,
FDL-111A-T4,,Pellet,,2023-03-30,2023-03-30,13800000000.0,,,262000000000.0,,,,,
FDL111B-T8,,,,2023-04-04,2023-04-04,17200000000.0,,,327000000000.0,,,,,
