FD sample ID,FD Run ID,Strain,EFT date,Broth ID,Fermentation Scale,Ferm condition,EFT (hr),Broth titer (CFU/mL),Broth age (day),Pelletization date,Cryo mix ,Ingredient 1,Ingredient 2,Ingredient 3,Ingredient4,Cryo mix addition rate,FD start date ,FD cycle recipe ,FD pressure (mTorr),FD run time (hr),Primary ramp rate (C/min),PA receive date,Dried appearance ,Container ,Water activity,Viability (CFU/g),Yield (%),Log loss ,Storage tracking ,Seed treatment,Note
22PT1202-10,FDL-105A-T01,Klebsiella variicola,12/1/22,P080-22-Y048,14L,"Potato peptone and tryptone, high viscosity by post-ferm addition of 0.7% XG",48,3.54E+11,1,12/2/22,SKP,40% Sucrose,8% KH2PO4,10.2% K2HPO4,,0.5,12/13/22,PVT090-A0,110-580,57 hr,,12/20/22,fused/melted moist cake,Foil pouch,0.37,n/m,n/m,n/m,N,N,Sample in D102 cold case
22PT1202-12,FDL-105A-T02,Klebsiella variicola,12/1/22,P080-22-Y048,14L,"Potato peptone and tryptone, high viscosity by post-ferm addition of 0.7% XG",48,3.54E+11,1,12/2/22,DSR,40% Sucrose,10% Maltodextrin,0.5% MgSO4,,0.5,12/13/22,PVT090-A0,110-580,57 hr,,12/20/22,"Collapse, no dust",Foil pouch,0.06,1.84E+11,17.81%,-0.75,Y,Y,
22PT1202-5,FDL-105A-T03,Kosakonia sacchari,12/1/22,P080-22-Y046 ,14L,"Potato peptone and tryptone, high viscosity by post-ferm addition of 0.7% XG",48,1.18E+11,1,12/2/22,PVT70%,45.5% Sucrose,22.75% Inulin,,,0.28,12/13/22,PVT090-A0,110-580,57 hr,,12/20/22,"Collapse, some dust",Foil pouch,0.24,6.61E+10,15.97%,-0.8,Y,Y,
22PT1202-11,FDL-105A-T04,Klebsiella variicola,12/1/22,P080-22-Y048,14L,"Potato peptone and tryptone, high viscosity by post-ferm addition of 0.7% XG",48,3.54E+11,1,12/2/22,PVT70%,45.5% Sucrose,22.75% Inulin,,,0.28,12/13/22,PVT090-A0,110-580,57 hr,,12/20/22,"Collapse, no dust",Foil pouch,0.05,3.15E+11,25.39%,-0.6,Y,Y,
22PT1202-1,FDL-105B-T05,Kosakonia sacchari,12/1/22,P080-22-Y046 ,14L," Potato peptone and tryptone, low viscosity",48,1.18E+11,1,12/2/22,SKP,40% Sucrose,8% KH2PO4,10.2% K2HPO4,,0.5,12/16/22,PVT090-A0,110-580,57 hr,,12/22/22,"friable cake, readily broke into pellets",Foil pouch,0.42,4.07E+10,13.09%,-0.882931036,Y,Y,
22PT1202-3,FDL-105B-T06,Kosakonia sacchari,12/1/22,P080-22-Y046 ,14L," Potato peptone and tryptone, low viscosity",48,1.18E+11,1,12/2/22,DSR,40% Sucrose,10% Maltodextrin,0.5% MgSO4,,0.5,12/16/22,PVT090-A0,110-580,57 hr,,12/22/22,"cake with some pellets, poor tray release",Foil pouch,n/m,6.69E+10,19.38%,-0.712559637,Y,Y,
22PT1202-4,FDL-105B-T07,Kosakonia sacchari,12/1/22,P080-22-Y046 ,14L,"Potato peptone and tryptone, high viscosity by post-ferm addition of 0.7% XG",48,1.18E+11,1,12/2/22,SKP,40% Sucrose,8% KH2PO4,10.2% K2HPO4,,0.5,12/16/22,PVT090-A0,110-580,57 hr,,12/22/22,fused/moist cake of pellets,Foil pouch,n/m,3.77E+10,12.14%,-0.91575706,Y,Y,
22PT1117-7,FDL-105B-T08,Klebsiella variicola,11/17/22,P080-22-Y043,14L," Potato peptone and tryptone, low viscosity",48,2.70E+11,0,11/17/22,SKP,40% Sucrose,8% KH2PO4,10.2% K2HPO4,,0.5,12/16/22,PVT090-A0,110-580,57 hr,,12/22/22,moist/wet cake,Foil pouch,n/m,n/m,n/m,n/m,N,N,Sample in D102 cold case
22PT1202-6,FDL-105B-T09,Kosakonia sacchari,12/1/22,P080-22-Y046 ,14L,"Potato peptone and tryptone, high viscosity by post-ferm addition of 0.7% XG",48,1.18E+11,1,12/2/22,DSR,40% Sucrose,10% Maltodextrin,0.5% MgSO4,,0.5,12/16/22,PVT090-A0,110-580,57 hr,,12/22/22,"speckled pellets, slightly clumped",Foil pouch,0.2,5.89E+10,17.07%,-0.767740606,Y,Y,
22PT1117-8,FDL-105B-T10,Klebsiella variicola,11/17/22,P080-22-Y043,14L," Potato peptone and tryptone, low viscosity",48,2.70E+11,0,11/17/22,PVT70%,45.5% Sucrose,22.75% Inulin,,,0.28,12/16/22,PVT090-A0,110-580,57 hr,,12/22/22,"dark brown/white speckled pellets, some clumps",Foil pouch,0.15,6.38E+11,67.39%,-0.171426026,Y,Y,
