ID,FD sample ID,FD Run ID,Strain,EFT date,Broth ID,Fermentation Scale,Ferm condition,EFT (hr),Broth titer (CFU/mL),Broth age (day),Pelletization date,Cryo mix,Ingredient 1,Ingredient 2,Ingredient 3,Cryo mix addition rate,FD start date,FD cycle recipe,FD pressure (mTorr),FD run time (hr),Primary ramp rate (C/min),PA receive date,Dry in-house,Dried appearance,Container,Water activity,Viability (CFU/g),Cryo mix Coef,Yield (%),Log Loss
1,22PT1202-10,FDL-105A-T01,Klebsiella variicola,12/1/22,P080-22-Y048,14L,"Potato peptone and tryptone, high viscosity by post-ferm addition of 0.7% XG",48,3.54E+11,1,12/2/22,SKP,40% Sucrose,8% KH2PO4,10.2% K2HPO4,0.5,12/13/22,PVT090-A0,110-580,57,,12/20/22,FALSE,fused/melted moist cake,Foil pouch,0.37,,0.38,,
2,22PT1202-12,FDL-105A-T02,Klebsiella variicola,12/1/22,P080-22-Y048,14L,"Potato peptone and tryptone, high viscosity by post-ferm addition of 0.7% XG",48,3.54E+11,1,12/2/22,DSR,40% Sucrose,10% Maltodextrin,0.5% MgSO4,0.5,12/13/22,PVT090-A0,110-580,57,,12/20/22,FALSE,"Collapse, no dust",Foil pouch,0.06,1.84E+11,0.342,17.78,-0.75
3,22PT1202-5,FDL-105A-T03,Kosakonia sacchari,12/1/22,P080-22-Y046 ,14L,"Potato peptone and tryptone, high viscosity by post-ferm addition of 0.7% XG",48,1.18E+11,1,12/2/22,PVT70%,45.5% Sucrose,22.75% Inulin,,0.28,12/13/22,PVT090-A0,110-580,57,,12/20/22,FALSE,"Collapse, some dust",Foil pouch,0.24,66100000000,0.285,15.96,-0.8
4,22PT1202-11,FDL-105A-T04,Klebsiella variicola,12/1/22,P080-22-Y048,14L,"Potato peptone and tryptone, high viscosity by post-ferm addition of 0.7% XG",48,3.54E+11,1,12/2/22,PVT70%,45.5% Sucrose,22.75% Inulin,,0.28,12/13/22,PVT090-A0,110-580,57,,12/20/22,FALSE,"Collapse, no dust",Foil pouch,0.05,3.15E+11,0.285,25.36,-0.6
5,22PT1202-1,FDL-105B-T05,Kosakonia sacchari,12/1/22,P080-22-Y046 ,14L," Potato peptone and tryptone, low viscosity",48,1.18E+11,1,12/2/22,SKP,40% Sucrose,8% KH2PO4,10.2% K2HPO4,0.5,12/16/22,PVT090-A0,110-580,57,,12/22/22,FALSE,"friable cake, readily broke into pellets",Foil pouch,0.42,40700000000,0.38,13.11,-0.88
6,22PT1202-3,FDL-105B-T06,Kosakonia sacchari,12/1/22,P080-22-Y046 ,14L," Potato peptone and tryptone, low viscosity",48,1.18E+11,1,12/2/22,DSR,40% Sucrose,10% Maltodextrin,0.5% MgSO4,0.5,12/16/22,PVT090-A0,110-580,57,,12/22/22,FALSE,"cake with some pellets, poor tray release",Foil pouch,,66900000000,0.342,19.39,-0.71
7,22PT1202-4,FDL-105B-T07,Kosakonia sacchari,12/1/22,P080-22-Y046 ,14L,"Potato peptone and tryptone, high viscosity by post-ferm addition of 0.7% XG",48,1.18E+11,1,12/2/22,SKP,40% Sucrose,8% KH2PO4,10.2% K2HPO4,0.5,12/16/22,PVT090-A0,110-580,57,,12/22/22,FALSE,fused/moist cake of pellets,Foil pouch,,37700000000,0.38,12.14,-0.92
8,22PT1117-7,FDL-105B-T08,Klebsiella variicola,11/17/22,P080-22-Y043,14L," Potato peptone and tryptone, low viscosity",48,2.70E+11,0,11/17/22,SKP,40% Sucrose,8% KH2PO4,10.2% K2HPO4,0.5,12/16/22,PVT090-A0,110-580,57,,12/22/22,FALSE,moist/wet cake,Foil pouch,,,0.38,,
9,22PT1202-6,FDL-105B-T09,Kosakonia sacchari,12/1/22,P080-22-Y046 ,14L,"Potato peptone and tryptone, high viscosity by post-ferm addition of 0.7% XG",48,1.18E+11,1,12/2/22,DSR,40% Sucrose,10% Maltodextrin,0.5% MgSO4,0.5,12/16/22,PVT090-A0,110-580,57,,12/22/22,FALSE,"speckled pellets, slightly clumped",Foil pouch,0.2,58900000000,0.342,17.07,-0.77
10,22PT1117-8,FDL-105B-T10,Klebsiella variicola,11/17/22,P080-22-Y043,14L," Potato peptone and tryptone, low viscosity",48,2.70E+11,0,11/17/22,PVT70%,45.5% Sucrose,22.75% Inulin,,0.28,12/16/22,PVT090-A0,110-580,57,,12/22/22,FALSE,"dark brown/white speckled pellets, some clumps",Foil pouch,0.15,6.38E+11,0.285,67.34,-0.17
