FD sample ID,FD Run ID,Strain,EFT date,Broth ID,Fermentation Scale,Ferm condition,EFT (hr),Broth titer (CFU/mL),Broth age (day),Pelletization date,Cryo mix,Ingredient 1,Ingredient 2,Ingredient 3,Cryo mix addition rate,FD start date,FD cycle recipe,FD pressure (mTorr),FD run time (hr),Primary ramp rate (C/min),PA receive date,Dried appearance,Container,Water activity,Viability (CFU/g),Cryo mix Coef,Yield (%),Log Loss
22PT1202-10,FDL-105A-T01,Klebsiella variicola,2022-12-01,P080-22-Y048,14L,"Potato peptone and tryptone, high viscosity by post-ferm addition of 0.7% XG",48.0,354000000000.0,1.0,2022-12-02,SKP,40% Sucrose,8% KH2PO4,10.2% K2HPO4,0.5,2022-12-13,PVT090-A0,110-580,57.0,,2022-12-20 00:00:00,fused/melted moist cake,Foil pouch,0.37,,0.38,,
22PT1202-12,FDL-105A-T02,Klebsiella variicola,2022-12-01,P080-22-Y048,14L,"Potato peptone and tryptone, high viscosity by post-ferm addition of 0.7% XG",48.0,354000000000.0,1.0,2022-12-02,DSR,40% Sucrose,10% Maltodextrin,0.5% MgSO4,0.5,2022-12-13,PVT090-A0,110-580,57.0,,2022-12-20 00:00:00,"Collapse, no dust",Foil pouch,0.06,184000000000.0,0.342,17.78,-0.75
22PT1202-5,FDL-105A-T03,Kosakonia sacchari,2022-12-01,P080-22-Y046 ,14L,"Potato peptone and tryptone, high viscosity by post-ferm addition of 0.7% XG",48.0,118000000000.0,1.0,2022-12-02,PVT70%,45.5% Sucrose,22.75% Inulin,,0.28,2022-12-13,PVT090-A0,110-580,57.0,,2022-12-20 00:00:00,"Collapse, some dust",Foil pouch,0.24,66100000000.0,0.285,15.96,-0.8
22PT1202-11,FDL-105A-T04,Klebsiella variicola,2022-12-01,P080-22-Y048,14L,"Potato peptone and tryptone, high viscosity by post-ferm addition of 0.7% XG",48.0,354000000000.0,1.0,2022-12-02,PVT70%,45.5% Sucrose,22.75% Inulin,,0.28,2022-12-13,PVT090-A0,110-580,57.0,,2022-12-20 00:00:00,"Collapse, no dust",Foil pouch,0.05,315000000000.0,0.285,25.36,-0.6
22PT1202-1,FDL-105B-T05,Kosakonia sacchari,2022-12-01,P080-22-Y046 ,14L," Potato peptone and tryptone, low viscosity",48.0,118000000000.0,1.0,2022-12-02,SKP,40% Sucrose,8% KH2PO4,10.2% K2HPO4,0.5,2022-12-16,PVT090-A0,110-580,57.0,,2022-12-22 00:00:00,"friable cake, readily broke into pellets",Foil pouch,0.42,40700000000.0,0.38,13.11,-0.88
22PT1202-3,FDL-105B-T06,Kosakonia sacchari,2022-12-01,P080-22-Y046 ,14L," Potato peptone and tryptone, low viscosity",48.0,118000000000.0,1.0,2022-12-02,DSR,40% Sucrose,10% Maltodextrin,0.5% MgSO4,0.5,2022-12-16,PVT090-A0,110-580,57.0,,2022-12-22 00:00:00,"cake with some pellets, poor tray release",Foil pouch,n/m,66900000000.0,0.342,19.39,-0.71
22PT1202-4,FDL-105B-T07,Kosakonia sacchari,2022-12-01,P080-22-Y046 ,14L,"Potato peptone and tryptone, high viscosity by post-ferm addition of 0.7% XG",48.0,118000000000.0,1.0,2022-12-02,SKP,40% Sucrose,8% KH2PO4,10.2% K2HPO4,0.5,2022-12-16,PVT090-A0,110-580,57.0,,2022-12-22 00:00:00,fused/moist cake of pellets,Foil pouch,n/m,37700000000.0,0.38,12.14,-0.92
22PT1117-7,FDL-105B-T08,Klebsiella variicola,2022-11-17,P080-22-Y043,14L," Potato peptone and tryptone, low viscosity",48.0,270000000000.0,0.0,2022-11-17,SKP,40% Sucrose,8% KH2PO4,10.2% K2HPO4,0.5,2022-12-16,PVT090-A0,110-580,57.0,,2022-12-22 00:00:00,moist/wet cake,Foil pouch,n/m,,0.38,,
22PT1202-6,FDL-105B-T09,Kosakonia sacchari,2022-12-01,P080-22-Y046 ,14L,"Potato peptone and tryptone, high viscosity by post-ferm addition of 0.7% XG",48.0,118000000000.0,1.0,2022-12-02,DSR,40% Sucrose,10% Maltodextrin,0.5% MgSO4,0.5,2022-12-16,PVT090-A0,110-580,57.0,,2022-12-22 00:00:00,"speckled pellets, slightly clumped",Foil pouch,0.2,58900000000.0,0.342,17.07,-0.77
22PT1117-8,FDL-105B-T10,Klebsiella variicola,2022-11-17,P080-22-Y043,14L," Potato peptone and tryptone, low viscosity",48.0,270000000000.0,0.0,2022-11-17,PVT70%,45.5% Sucrose,22.75% Inulin,,0.28,2022-12-16,PVT090-A0,110-580,57.0,,2022-12-22 00:00:00,"dark brown/white speckled pellets, some clumps",Foil pouch,0.15,638000000000.0,0.285,67.34,-0.17
